GENE	H3k27ac_16_DMSO_compare_TSS_SIGNAL	H3k27ac_16_DMSO_compare_DISTAL_SIGNAL
APOA1	0.0	17212.940000000002
APOA1BP	4308.2	130952.85710000001
APOA2	0.0	45484.9171
APOA4	0.0	5262.9446
APOA5	0.0	5262.9446
APOB	0.0	1378.4096
APOB48R	2228.1755000000003	728.5972
APOBEC1	0.0	2242.1346
APOBEC2	0.0	2847.5304
APOBEC3A	0.0	39009.083900000005
APOBEC3B	9793.4	53095.475999999995
APOBEC3C	11785.0	56757.581999999995
APOBEC3D	10399.2	58188.969999999994
APOBEC3F	9445.2044	58993.35399999999
APOBEC3G	9593.400000000001	67230.23430000001
APOBEC3H	3809.481	56064.09749999999
APOBEC4	0.0	6823.4667
APOC1	0.0	3644.397
APOC1P1	0.0	13900.660500000002
APOC2	0.0	23689.8214
APOC3	0.0	17212.940000000002
APOC4	0.0	13972.945900000002
APOD	0.0	11508.792599999999
APOE	0.0	3644.397
APOF	0.0	11666.985999999999
APOH	0.0	1067.804
APOL1	2941.7276	62053.1569
